in_h,in_w,k_h,k_w,stride_h,stride_w,out_h,out_w,num_procs,num_threads,local_time_s,total_time_s,mode
40036,40036,36,36,1,1,40001,40001,1,1,478.686026,480.768079,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,479.402501,481.507244,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,479.421590,481.522908,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.024356,482.162668,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,479.993299,482.120588,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.155324,482.370051,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.172380,482.438082,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.262352,482.414807,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.252922,482.538629,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.297649,482.578027,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.369143,482.669902,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,481.017903,482.896107,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.674296,482.875063,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.476332,482.721454,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.512783,482.698135,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,480.867642,483.103273,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,481.096549,483.256749,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,481.222438,483.395495,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,481.350772,483.516005,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,482.009014,483.896357,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,481.899311,484.065977,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,482.223987,484.389161,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,482.745686,484.852411,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,483.199999,485.078705,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,483.055401,485.056547,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,483.183891,485.298063,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,483.248583,485.533270,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,483.223668,485.460436,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,483.604501,485.660286,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,483.666562,486.030775,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,483.826880,486.179251,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,484.596218,486.654573,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,484.953763,486.882902,MPI_BCAST
40036,40036,36,36,1,1,40001,40001,1,1,485.014123,486.964899,MPI_BCAST
